('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.047057659376812555, 3.3870144727772116e-08)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.07444492913930967, 2.328167183690025e-18)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.07594426632948126, 4.804936063861996e-19)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.08030106994100256, 4.1077596358953306e-21)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.08640674763877361, 3.3334913293580525e-24)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.09537659361772952, 3.7410566953036774e-29)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.10769183059223994, 9.509707022923025e-37)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.11711851168905126, 3.43068894385958e-43)
('fast_vgs_plus', 'librispeech_train', 8, '0.5', 0.12430664595412134, 1.791030458351207e-48)
('fast_vgs_plus', 'librispeech_train', 9, '0.5', 0.09154876636569449, 5.560085298102925e-27)
('fast_vgs_plus', 'librispeech_train', 10, '0.5', 0.08762179903584122, 7.602586545366669e-25)
('fast_vgs_plus', 'librispeech_train', 11, '0.5', 0.08665968354129279, 2.4547329096396525e-24)
('fast_vgs_plus', 'librispeech_train', 12, '0.5', 0.08863388442417489, 2.18489397296199e-25)
('wav2vec_random', 'spokencoco_val', 0, '0.5', -0.0345348803182944, 0.0001280215608020686)
('wav2vec_random', 'spokencoco_val', 1, '0.5', -0.035059244373213796, 0.00010089638973029305)
('wav2vec_random', 'spokencoco_val', 2, '0.5', -0.03471442182403059, 0.00011804137451320132)
('wav2vec_random', 'spokencoco_val', 3, '0.5', -0.03453387757683513, 0.00012807947006027398)
('wav2vec_random', 'spokencoco_val', 4, '0.5', -0.03357901040082822, 0.00019596784805102542)
('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.03289207560614171, 0.00026436098719217067)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.03303070308429518, 0.000248973378343959)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.033403892952493366, 0.00021161958107086533)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.03341204811645592, 0.0002108653540368878)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.03281470453001885, 0.00027333231693009305)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.03184515696064936, 0.00041280209284401506)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.03111220235794039, 0.0005596869514837488)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.012076270905018241, 0.18056477321423026)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.010222804241648765, 0.25700692625675425)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.011213517082735006, 0.21373901698040895)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.008864595606469405, 0.3256612269856611)
('wav2vec_small', 'spokencoco_val', 4, '0.5', -0.00312313940871985, 0.7291306238122913)
('wav2vec_small', 'spokencoco_val', 5, '0.5', 0.0019124829004708958, 0.8320689965789166)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.011019376448678283, 0.22177490815093281)
('wav2vec_small', 'spokencoco_val', 7, '0.5', 0.00676026894086037, 0.4535194310790869)
