('deberta', 'librispeech_train', 0, '0.5', 0.18590738095912734, 3.756398815663174e-107)
('deberta', 'librispeech_train', 1, '0.5', 0.17448860684830775, 1.9888686582249174e-94)
('deberta', 'librispeech_train', 2, '0.5', 0.19129865033993046, 1.8548477500925176e-113)
('deberta', 'librispeech_train', 3, '0.5', 0.1978383493082231, 2.2839610222725047e-121)
('deberta', 'librispeech_train', 4, '0.5', 0.20714347777550993, 4.06672340593685e-133)
('deberta', 'librispeech_train', 5, '0.5', 0.20320100166049393, 4.557147656211919e-128)
('deberta', 'librispeech_train', 6, '0.5', 0.20526719159796591, 1.0604229660469089e-130)
('deberta', 'librispeech_train', 7, '0.5', 0.21454701097358922, 6.941739138436089e-143)
('deberta', 'librispeech_train', 8, '0.5', 0.2204770828319713, 5.584038624539571e-151)
('deberta', 'librispeech_train', 9, '0.5', 0.2205794704614133, 4.027747773562007e-151)
('deberta', 'librispeech_train', 10, '0.5', 0.22567171974646574, 2.8627076717850586e-158)
('deberta', 'librispeech_train', 11, '0.5', 0.22667715426514645, 1.0570733855192543e-159)
('deberta', 'librispeech_train', 12, '0.5', 0.21681874972872073, 5.876709993834982e-146)
('deberta', 'spokencoco_val', 0, '0.5', 0.2523150637280272, 7.056273793463158e-178)
('deberta', 'spokencoco_val', 1, '0.5', 0.2596182521394503, 1.429778203972396e-188)
('deberta', 'spokencoco_val', 2, '0.5', 0.26708828489903286, 7.184753903122571e-200)
('deberta', 'spokencoco_val', 3, '0.5', 0.2453888005472747, 4.688567403589016e-168)
('deberta', 'spokencoco_val', 4, '0.5', 0.279909436239115, 3.972578514080881e-220)
('deberta', 'spokencoco_val', 5, '0.5', 0.26724538913730567, 4.119346703249024e-200)
('deberta', 'spokencoco_val', 6, '0.5', 0.26695833132524566, 1.1379456385833865e-199)
('deberta', 'spokencoco_val', 7, '0.5', 0.2762030737751295, 3.701881398575044e-214)
('deberta', 'spokencoco_val', 8, '0.5', 0.2733195064591445, 1.408112977161224e-209)
('deberta', 'spokencoco_val', 9, '0.5', 0.26383900715067937, 6.5509823840221665e-195)
('deberta', 'spokencoco_val', 10, '0.5', 0.2583702713302423, 1.0166710585571898e-186)
('deberta', 'spokencoco_val', 11, '0.5', 0.2506843778613527, 1.5450591189303584e-175)
('deberta', 'spokencoco_val', 12, '0.5', 0.24524715968230076, 7.390810866162925e-168)
('deberta', 'librispeech_train', 0, '0.5', 0.1876660063406525, 3.4577675708573055e-109)
('deberta', 'librispeech_train', 1, '0.5', 0.17638934973859063, 1.7377340353141852e-96)
('deberta', 'librispeech_train', 2, '0.5', 0.19305449616312076, 1.4883226006622472e-115)
('deberta', 'librispeech_train', 3, '0.5', 0.1989863048021145, 8.724216859092505e-123)
('deberta', 'librispeech_train', 4, '0.5', 0.20728625961307234, 2.65702850624082e-133)
('deberta', 'librispeech_train', 5, '0.5', 0.20279024117747163, 1.5091791418374151e-127)
('deberta', 'librispeech_train', 6, '0.5', 0.2045744043750271, 8.158400796076394e-130)
('deberta', 'librispeech_train', 7, '0.5', 0.2114871906458092, 8.389597484802956e-139)
('deberta', 'librispeech_train', 8, '0.5', 0.21436982587632383, 1.2011798915390101e-142)
('deberta', 'librispeech_train', 9, '0.5', 0.2124947571060205, 3.859762951284473e-140)
('deberta', 'librispeech_train', 10, '0.5', 0.21569134771760384, 1.9873612537978172e-144)
('deberta', 'librispeech_train', 11, '0.5', 0.2153774619945313, 5.277888785818948e-144)
('deberta', 'librispeech_train', 12, '0.5', 0.20689573877040673, 8.504417419286493e-133)
('deberta', 'spokencoco_val', 0, '0.5', 0.2591443996030393, 7.238199578505211e-188)
('deberta', 'spokencoco_val', 1, '0.5', 0.2698030323756733, 4.55855573729793e-204)
('deberta', 'spokencoco_val', 2, '0.5', 0.27493727803600637, 3.8536045276084215e-212)
('deberta', 'spokencoco_val', 3, '0.5', 0.25103941573768374, 4.795742334245581e-176)
('deberta', 'spokencoco_val', 4, '0.5', 0.28532318679832713, 5.158161431075258e-229)
('deberta', 'spokencoco_val', 5, '0.5', 0.2689517779292002, 9.55695077063481e-203)
('deberta', 'spokencoco_val', 6, '0.5', 0.26927909815491907, 2.96999680104955e-203)
('deberta', 'spokencoco_val', 7, '0.5', 0.27644931659357, 1.4952193302199922e-214)
('deberta', 'spokencoco_val', 8, '0.5', 0.2731842692522976, 2.301851123054324e-209)
('deberta', 'spokencoco_val', 9, '0.5', 0.2623596919238984, 1.1255049295660157e-192)
('deberta', 'spokencoco_val', 10, '0.5', 0.2547437761905868, 2.1427007316739498e-181)
('deberta', 'spokencoco_val', 11, '0.5', 0.24277538211532518, 1.982759416151567e-164)
('deberta', 'spokencoco_val', 12, '0.5', 0.23653461333465448, 6.035774048445108e-156)
('deberta', 'librispeech_train', 0, '0.5', 0.18952051598061165, 2.342122117038072e-111)
('deberta', 'librispeech_train', 1, '0.5', 0.17941224778010098, 8.26572765954809e-100)
('deberta', 'librispeech_train', 2, '0.5', 0.19793457706899661, 1.7384697749753589e-121)
('deberta', 'librispeech_train', 3, '0.5', 0.20599053983712345, 1.2496708986878072e-131)
('deberta', 'librispeech_train', 4, '0.5', 0.21579436828644594, 1.4418099909860496e-144)
('deberta', 'librispeech_train', 5, '0.5', 0.21481985781051993, 2.9808272663105316e-143)
('deberta', 'librispeech_train', 6, '0.5', 0.21889951745646355, 8.393657965199255e-149)
('deberta', 'librispeech_train', 7, '0.5', 0.22503192282743328, 2.3162187322536882e-157)
('deberta', 'librispeech_train', 8, '0.5', 0.22917367766784777, 2.730639414868382e-163)
('deberta', 'librispeech_train', 9, '0.5', 0.2285163535371517, 2.4274339681111865e-162)
('deberta', 'librispeech_train', 10, '0.5', 0.23151272078992857, 1.0844518104693061e-166)
('deberta', 'librispeech_train', 11, '0.5', 0.23280125553276465, 1.3971673270801525e-168)
('deberta', 'librispeech_train', 12, '0.5', 0.22888150739208984, 7.217732310427307e-163)
('deberta', 'spokencoco_val', 0, '0.5', 0.26517588904003647, 6.082131072415719e-197)
('deberta', 'spokencoco_val', 1, '0.5', 0.2789100644090355, 1.6510683792267529e-218)
('deberta', 'spokencoco_val', 2, '0.5', 0.2848309839865436, 3.378235541402266e-228)
('deberta', 'spokencoco_val', 3, '0.5', 0.25922189348102165, 5.553153124522056e-188)
('deberta', 'spokencoco_val', 4, '0.5', 0.2918734139876756, 4.923935906385597e-240)
('deberta', 'spokencoco_val', 5, '0.5', 0.2789669414657961, 1.3360479413603498e-218)
('deberta', 'spokencoco_val', 6, '0.5', 0.2791304303194608, 7.26803307711715e-219)
('deberta', 'spokencoco_val', 7, '0.5', 0.287981890486305, 1.8837577814452877e-233)
('deberta', 'spokencoco_val', 8, '0.5', 0.28359574713275204, 3.713089951850439e-226)
('deberta', 'spokencoco_val', 9, '0.5', 0.27498605089382383, 3.223529503589675e-212)
('deberta', 'spokencoco_val', 10, '0.5', 0.26925958630304797, 3.1844340332674705e-203)
('deberta', 'spokencoco_val', 11, '0.5', 0.25947736538064275, 2.3165645779762298e-188)
('deberta', 'spokencoco_val', 12, '0.5', 0.25012154066169784, 9.834351603823591e-175)
