('wav2vec_large_en', 'librispeech_train', 0) {'mse': {'mean': 0.007295808976918382, 'std': 0.001363867785120294, 'alpha': 10}, 'r2': {'mean': -0.6942232150970418, 'std': 0.5142294669603359, 'alpha': 10}, 'pearson_r': {'mean': 0.03363007799321537, 'std': 0.0374778402524051, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 1) {'mse': {'mean': 0.007300326050710554, 'std': 0.0013426756771109534, 'alpha': 10}, 'r2': {'mean': -0.6974253145478122, 'std': 0.519323383477535, 'alpha': 10}, 'pearson_r': {'mean': 0.0470882500427533, 'std': 0.04208427688277572, 'alpha': 10}}
('wav2vec_large_en', 'librispeech_train', 2) {'mse': {'mean': 0.007268395913372143, 'std': 0.0012971047128586598, 'alpha': 10}, 'r2': {'mean': -0.6915235092130366, 'std': 0.5181965447704833, 'alpha': 10}, 'pearson_r': {'mean': 0.06253580659385286, 'std': 0.032357574996388375, 'alpha': 1}}
('wav2vec_large_en', 'librispeech_train', 3) {'mse': {'mean': 0.007254387898566156, 'std': 0.001260907634070574, 'alpha': 10}, 'r2': {'mean': -0.6923681611156131, 'std': 0.5299506569325447, 'alpha': 10}, 'pearson_r': {'mean': 0.06537733690245802, 'std': 0.035042681719811425, 'alpha': 1}}
('wav2vec_large_en', 'librispeech_train', 4) {'mse': {'mean': 0.007244387194897171, 'std': 0.001260974311478818, 'alpha': 10}, 'r2': {'mean': -0.6909939096911524, 'std': 0.5339653017918135, 'alpha': 10}, 'pearson_r': {'mean': 0.07239507368809331, 'std': 0.03501294261350778, 'alpha': 10}}
('wav2vec_large_en', 'librispeech_train', 5) {'mse': {'mean': 0.007289778049751418, 'std': 0.0013185165341280292, 'alpha': 10}, 'r2': {'mean': -0.6963655004590893, 'std': 0.5207684702279094, 'alpha': 10}, 'pearson_r': {'mean': 0.07674469268952683, 'std': 0.035956319899232765, 'alpha': 10}}
('wav2vec_large_en', 'librispeech_train', 6) {'mse': {'mean': 0.007285977716266399, 'std': 0.001313466620059706, 'alpha': 10}, 'r2': {'mean': -0.6962260733610073, 'std': 0.5226457273321802, 'alpha': 10}, 'pearson_r': {'mean': 0.0801360137825379, 'std': 0.03278503174353799, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 7) {'mse': {'mean': 0.0072978755562866345, 'std': 0.0013942746490939332, 'alpha': 10}, 'r2': {'mean': -0.6914333612077567, 'std': 0.5058543420314533, 'alpha': 10}, 'pearson_r': {'mean': 0.025272052687656744, 'std': 0.08620553266187327, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 8) {'mse': {'mean': 0.007315023721877531, 'std': 0.0014666313951261544, 'alpha': 10}, 'r2': {'mean': -0.6865751237580321, 'std': 0.4860298660782237, 'alpha': 10}, 'pearson_r': {'mean': -0.02485475619415203, 'std': 0.09460832773205344, 'alpha': 0.001}}
('wav2vec_large_en', 'librispeech_train', 9) {'mse': {'mean': 0.007295261229487315, 'std': 0.001476501563433843, 'alpha': 10}, 'r2': {'mean': -0.6802002380134355, 'std': 0.47973737459924704, 'alpha': 10}, 'pearson_r': {'mean': -0.029608863297388967, 'std': 0.10446029873319336, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 10) {'mse': {'mean': 0.007262992108414602, 'std': 0.001465471784760284, 'alpha': 10}, 'r2': {'mean': -0.6742998702170973, 'std': 0.48182882787825304, 'alpha': 10}, 'pearson_r': {'mean': 0.06637543663882432, 'std': 0.10090284346425883, 'alpha': 1}}
